Karlgren (1954)          	0.6195 	-0.0034	 0.0124 	50.24	1	0.00100
Li (1971)                	0.8526 	-0.0042	 0.0205 	41.86	1	0.00100
Wáng (1980)              	0.7883 	-0.0043	 0.0173 	45.73	1	0.00100
Zhèngzhāng (2003)        	0.7527 	-0.0045	 0.0149 	50.67	1	0.00100
Starostin (1989)         	0.8477 	-0.0040	 0.0158 	53.99	1	0.00100
Pān (2000)               	0.7470 	-0.0047	 0.0149 	50.34	1	0.00100
Baxter and Sagart (2014) 	0.8781 	-0.0045	 0.0155 	56.91	1	0.00100
Schuessler (2007)        	0.7298 	-0.0045	 0.0154 	47.78	1	0.00100
Karlgren (1954)          	0.5712 	-0.0033	 0.0124 	46.21	2	0.00100
Li (1971)                	0.8119 	-0.0036	 0.0204 	40.07	2	0.00100
Wáng (1980)              	0.7745 	-0.0035	 0.0170 	45.78	2	0.00100
Zhèngzhāng (2003)        	0.7239 	-0.0032	 0.0150 	48.57	2	0.00100
Starostin (1989)         	0.8398 	-0.0037	 0.0158 	53.35	2	0.00100
Pān (2000)               	0.7130 	-0.0032	 0.0151 	47.52	2	0.00100
Baxter and Sagart (2014) 	0.8767 	-0.0031	 0.0154 	57.18	2	0.00100
Schuessler (2007)        	0.7281 	-0.0034	 0.0154 	47.55	2	0.00100
Karlgren (1954)          	0.5815 	-0.0038	 0.0124 	47.02	3	0.00100
Li (1971)                	0.7964 	-0.0032	 0.0202 	39.49	3	0.00100
Wáng (1980)              	0.7580 	-0.0031	 0.0170 	44.69	3	0.00100
Zhèngzhāng (2003)        	0.7268 	-0.0033	 0.0149 	49.06	3	0.00100
Starostin (1989)         	0.8175 	-0.0031	 0.0152 	53.87	3	0.00100
Pān (2000)               	0.7143 	-0.0033	 0.0148 	48.47	3	0.00100
Baxter and Sagart (2014) 	0.8562 	-0.0032	 0.0156 	55.02	3	0.00100
Schuessler (2007)        	0.6846 	-0.0031	 0.0153 	45.07	3	0.00100
Karlgren (1954)          	0.5774 	-0.0032	 0.0134 	43.46	4	0.00100
Li (1971)                	0.8331 	-0.0037	 0.0210 	39.79	4	0.00100
Wáng (1980)              	0.7508 	-0.0033	 0.0177 	42.49	4	0.00100
Zhèngzhāng (2003)        	0.7421 	-0.0036	 0.0154 	48.47	4	0.00100
Starostin (1989)         	0.8575 	-0.0034	 0.0165 	52.03	4	0.00100
Pān (2000)               	0.7446 	-0.0036	 0.0153 	48.82	4	0.00100
Baxter and Sagart (2014) 	0.8865 	-0.0036	 0.0159 	55.97	4	0.00100
Schuessler (2007)        	0.7469 	-0.0038	 0.0161 	46.67	4	0.00100
Karlgren (1954)          	0.5434 	-0.0037	 0.0122 	45.02	5	0.00100
Li (1971)                	0.8182 	-0.0030	 0.0201 	40.94	5	0.00100
Wáng (1980)              	0.7624 	-0.0029	 0.0171 	44.76	5	0.00100
Zhèngzhāng (2003)        	0.7235 	-0.0033	 0.0146 	49.76	5	0.00100
Starostin (1989)         	0.8427 	-0.0033	 0.0153 	55.12	5	0.00100
Pān (2000)               	0.7113 	-0.0033	 0.0147 	48.56	5	0.00100
Baxter and Sagart (2014) 	0.8750 	-0.0035	 0.0152 	57.79	5	0.00100
Schuessler (2007)        	0.7117 	-0.0032	 0.0147 	48.79	5	0.00100
Karlgren (1954)          	0.5480 	-0.0041	 0.0124 	44.58	6	0.00100
Li (1971)                	0.8063 	-0.0049	 0.0203 	40.04	6	0.00100
Wáng (1980)              	0.7436 	-0.0043	 0.0169 	44.38	6	0.00100
Zhèngzhāng (2003)        	0.7397 	-0.0042	 0.0143 	52.16	6	0.00100
Starostin (1989)         	0.8548 	-0.0038	 0.0160 	53.70	6	0.00100
Pān (2000)               	0.7310 	-0.0041	 0.0141 	52.00	6	0.00100
Baxter and Sagart (2014) 	0.8840 	-0.0041	 0.0151 	58.78	6	0.00100
Schuessler (2007)        	0.7035 	-0.0041	 0.0151 	46.71	6	0.00100
Karlgren (1954)          	0.6163 	-0.0030	 0.0128 	48.24	7	0.00100
Li (1971)                	0.8362 	-0.0033	 0.0220 	38.23	7	0.00100
Wáng (1980)              	0.7980 	-0.0025	 0.0180 	44.49	7	0.00100
Zhèngzhāng (2003)        	0.7403 	-0.0027	 0.0157 	47.21	7	0.00100
