Karlgren (1954)          	0.5813 	-0.0031	 0.0107 	54.41	1	0.00100
Li (1971)                	0.8276 	-0.0039	 0.0175 	47.65	1	0.00100
Wáng (1980)              	0.7674 	-0.0035	 0.0150 	51.42	1	0.00100
Zhèngzhāng (2003)        	0.7465 	-0.0030	 0.0133 	56.43	1	0.00100
Starostin (1989)         	0.8426 	-0.0033	 0.0142 	59.51	1	0.00100
Pān (2000)               	0.7326 	-0.0030	 0.0132 	55.89	1	0.00100
Baxter and Sagart (2014) 	0.8733 	-0.0035	 0.0139 	63.20	1	0.00100
Schuessler (2007)        	0.7308 	-0.0033	 0.0139 	52.76	1	0.00100
Karlgren (1954)          	0.5697 	-0.0031	 0.0110 	51.85	2	0.00100
Li (1971)                	0.8147 	-0.0023	 0.0191 	42.76	2	0.00100
Wáng (1980)              	0.7530 	-0.0024	 0.0152 	49.68	2	0.00100
Zhèngzhāng (2003)        	0.7560 	-0.0023	 0.0137 	55.32	2	0.00100
Starostin (1989)         	0.8754 	-0.0024	 0.0143 	61.48	2	0.00100
Pān (2000)               	0.7424 	-0.0022	 0.0136 	54.80	2	0.00100
Baxter and Sagart (2014) 	0.8911 	-0.0026	 0.0137 	65.04	2	0.00100
Schuessler (2007)        	0.7383 	-0.0023	 0.0146 	50.88	2	0.00100
Karlgren (1954)          	0.5938 	-0.0033	 0.0111 	53.83	3	0.00100
Li (1971)                	0.8056 	-0.0034	 0.0179 	45.16	3	0.00100
Wáng (1980)              	0.7644 	-0.0032	 0.0153 	50.29	3	0.00100
Zhèngzhāng (2003)        	0.7408 	-0.0035	 0.0128 	58.12	3	0.00100
Starostin (1989)         	0.8454 	-0.0034	 0.0134 	63.41	3	0.00100
Pān (2000)               	0.7295 	-0.0032	 0.0129 	56.62	3	0.00100
Baxter and Sagart (2014) 	0.8834 	-0.0035	 0.0131 	67.91	3	0.00100
Schuessler (2007)        	0.7094 	-0.0031	 0.0137 	52.02	3	0.00100
Karlgren (1954)          	0.5902 	-0.0035	 0.0107 	55.72	4	0.00100
Li (1971)                	0.8294 	-0.0042	 0.0179 	46.49	4	0.00100
Wáng (1980)              	0.7686 	-0.0043	 0.0147 	52.74	4	0.00100
Zhèngzhāng (2003)        	0.7506 	-0.0036	 0.0125 	60.26	4	0.00100
Starostin (1989)         	0.8419 	-0.0037	 0.0133 	63.70	4	0.00100
Pān (2000)               	0.7344 	-0.0036	 0.0125 	59.09	4	0.00100
Baxter and Sagart (2014) 	0.8748 	-0.0038	 0.0128 	68.80	4	0.00100
